N,Time
2,108
3,115
4,116
5,117
6,118
7,120
8,121
9,123
10,124
11,125
12,127
13,128
14,130
15,131
16,133
17,133
18,135
19,136
20,136
21,138
22,138
23,139
24,140
25,141
26,142
27,143
28,144
29,145
30,146
31,147
32,147
33,148
34,149
35,150
36,151
37,152
38,153
39,154
40,155
41,156
42,157
43,158
44,159
45,160
46,162
47,163
48,164
49,165
50,166
51,168
52,169
53,170
54,171
55,173
56,174
57,176
58,177
59,179
60,180
61,182
62,184
63,186
64,187
65,189
66,190
67,192
68,194
69,196
70,198
71,199
72,201
73,203
74,205
75,207
76,208
77,210
78,212
79,214
80,216
81,218
82,220
83,222
84,225
85,227
86,229
87,232
88,234
89,236
90,238
91,240
92,243
