N,Time
2,81
3,87
4,88
5,90
6,90
7,92
8,93
9,95
10,97
11,98
12,99
13,101
14,102
15,103
16,104
17,106
18,107
19,108
20,109
21,110
22,110
23,111
24,112
25,114
26,114
27,116
28,116
29,117
30,118
31,119
32,120
33,121
34,122
35,123
36,124
37,125
38,126
39,126
40,127
41,128
42,129
43,130
44,130
45,131
46,132
47,133
48,134
49,135
50,136
51,137
52,138
53,139
54,140
55,141
56,142
57,143
58,144
59,146
60,147
61,149
62,150
63,152
64,154
65,155
66,157
67,158
68,160
69,162
70,163
71,165
72,166
73,168
74,170
75,172
76,174
77,175
78,177
79,179
80,180
81,182
82,184
83,186
84,187
85,189
86,190
87,192
88,194
89,195
90,197
91,199
92,200
93,202
94,203
95,206
96,208
97,209
98,211
99,213
100,214
101,216
102,219
103,221
104,223
105,226
106,228
107,230
108,232
109,234
110,236
111,239
112,241
113,243
114,245
115,248
116,249
117,251
118,253
119,256
120,259
121,261
122,263
123,264
124,267
125,269
126,272
127,274
128,276
129,278
130,280
131,283
132,285
133,287
134,289
135,292
136,294
137,296
138,299
139,301
140,303
141,305
142,307
143,310
144,312
145,314
146,317
147,319
148,322
149,324
150,327
151,335
152,338
153,341
154,344
155,346
156,349
157,352
158,355
159,357
160,360
161,363
162,365
163,369
164,372
165,374
166,377
167,380
168,384
169,387
170,389
171,392
172,395
173,398
174,401
175,404
176,408
177,412
178,416
179,420
180,423
181,427
182,431
183,435
184,438
185,442
186,445
187,448
188,453
189,456
190,459
191,462
192,465
193,468
194,472
195,474
196,477
197,481
198,499
199,502
200,508
201,511
202,514
203,517
204,521
205,524
206,527
207,530
208,533
209,537
210,541
211,544
212,547
213,550
214,554
215,557
216,561
217,564
218,568
219,572
220,575
221,579
222,584
223,588
224,591
225,595
226,599
227,603
228,606
229,610
230,613
231,617
232,621
233,624
234,628
235,632
236,635
237,640
238,644
239,648
240,652
241,657
242,662
243,666
244,669
245,674
246,678
247,681
248,685
249,690
250,694
251,700
252,703
253,709
254,713
255,718
256,723
257,728
258,733
259,738
260,741
261,746
262,750
263,755
264,761
265,766
266,770
267,775
268,780
269,784
270,789
271,793
272,798
273,801
274,805
275,810
276,815
277,820
278,824
279,829
280,834
281,839
282,843
283,848
284,852
285,857
286,862
287,866
288,871
289,876
290,880
291,885
292,890
293,895
294,900
295,904
296,910
297,915
298,919
299,924
300,929
301,934
302,938
303,944
304,949
305,955
306,960
307,965
308,970
309,974
310,979
311,983
312,988
313,992
314,996
315,1001
316,1005
317,1009
318,1014
319,1018
320,1023
321,1028
322,1032
323,1037
324,1042
325,1047
326,1051
327,1056
328,1061
329,1066
330,1071
331,1076
332,1080
333,1085
334,1090
335,1094
336,1099
337,1104
338,1109
339,1114
340,1119
341,1123
342,1128
343,1133
344,1138
345,1143
346,1147
347,1152
348,1157
349,1162
350,1167
351,1172
352,1177
353,1182
354,1187
355,1192
356,1197
357,1202
358,1208
359,1213
360,1218
361,1223
362,1229
363,1234
364,1239
365,1253
366,1257
367,1262
368,1267
369,1273
370,1279
371,1284
372,1289
373,1295
374,1300
375,1306
376,1311
377,1317
378,1322
379,1328
380,1334
381,1340
382,1346
383,1351
384,1357
385,1363
386,1369
387,1375
388,1381
389,1386
390,1393
391,1398
392,1405
393,1410
394,1415
395,1421
396,1428
397,1434
398,1440
399,1446
400,1452
401,1458
402,1464
403,1470
404,1476
405,1482
406,1488
407,1493
408,1499
409,1505
410,1511
411,1517
412,1523
413,1529
414,1536
415,1542
416,1548
417,1554
418,1561
419,1566
420,1572
421,1578
422,1584
423,1590
424,1596
425,1603
426,1609
427,1615
428,1621
429,1627
430,1636
431,1642
432,1649
433,1655
434,1662
435,1668
436,1674
437,1680
438,1687
439,1694
440,1700
441,1707
442,1713
443,1720
444,1726
445,1733
446,1740
447,1746
448,1752
449,1759
450,1766
451,1772
452,1779
453,1785
454,1792
455,1799
456,1806
457,1813
458,1820
459,1826
460,1834
461,1840
462,1847
463,1853
464,1860
465,1867
466,1873
467,1880
468,1888
469,1894
470,1902
471,1909
472,1916
473,1923
474,1929
475,1937
476,1944
477,1951
478,1969
479,1976
480,1983
481,1990
482,1997
483,2004
484,2012
485,2018
486,2026
487,2033
488,2040
489,2047
490,2054
491,2061
492,2069
493,2075
494,2082
495,2089
496,2097
497,2104
498,2112
499,2119
500,2125
501,2133
502,2140
503,2147
504,2154
505,2162
506,2170
507,2177
508,2185
509,2193
510,2201
511,2208
512,2215
513,2223
514,2231
515,2238
516,2246
517,2253
518,2261
519,2268
520,2276
521,2283
522,2292
523,2299
524,2307
525,2316
526,2324
527,2332
528,2340
529,2347
530,2355
531,2362
532,2369
533,2377
534,2385
535,2393
536,2402
537,2412
538,2419
539,2428
540,2436
541,2445
542,2454
543,2462
544,2470
545,2479
546,2487
547,2495
548,2504
549,2512
550,2522
551,2529
552,2537
553,2546
554,2553
555,2561
556,2569
557,2577
558,2585
559,2593
560,2601
561,2609
562,2617
563,2625
564,2633
565,2641
566,2649
567,2657
568,2665
569,2674
570,2682
571,2691
572,2699
573,2708
574,2715
575,2724
576,2732
577,2741
578,2749
579,2757
580,2766
581,2774
582,2782
583,2791
584,2799
585,2808
586,2816
587,2826
588,2834
589,2843
590,2851
591,2859
592,2868
593,2877
594,2887
595,2896
596,2904
597,2913
598,2921
599,2929
600,2938
601,2946
602,2955
603,2964
604,2972
605,2982
606,2991
607,3000
608,3008
609,3017
610,3026
611,3035
612,3045
613,3054
614,3063
615,3107
616,3117
617,3125
618,3134
619,3143
620,3152
621,3161
622,3169
623,3179
624,3188
625,3197
626,3207
627,3215
628,3225
629,3234
